,strawberryfields,thewalrus,SFOpenBoson,OpenFermion,QMLT,quantum-learning,constrained-quantum-learning,torontonian-sampling,quantum-neural-networks,blackbird,fockgaussian,quantum-inspired-algorithms,realistic-quantum-states,pennylane-plugin-template,quantum-transfer-learning,kerr-squeezing,QHack-2019,approximate-GKP-prep,sqtom,pl-qe,pennylane-forest,derivatives-of-variational-circuits,expressive_power_of_quantum_models,cloud-workshops,amazon-braket-examples,amazon-braket-pennylane-plugin-python-1,pennylane-demo-cern,QHack,bolt
2021-03-03,113,28,9,1,27,27,7,8,66,19,7,22,5,10,17,4,4,4,4,4,3,4,5,3,3,3,30,85,3
2021-03-03,113,28,9,1,27,27,7,8,66,19,7,22,5,10,17,4,4,4,4,4,3,4,5,3,3,3,30,85,3
