,strawberryfields,thewalrus,SFOpenBoson,OpenFermion,QMLT,quantum-learning,constrained-quantum-learning,torontonian-sampling,quantum-neural-networks,blackbird,fockgaussian,quantum-inspired-algorithms,realistic-quantum-states,pennylane-plugin-template,quantum-transfer-learning,kerr-squeezing,QHack-2019,approximate-GKP-prep,sqtom,pl-qe,pennylane-forest,derivatives-of-variational-circuits,expressive_power_of_quantum_models,cloud-workshops,amazon-braket-examples,amazon-braket-pennylane-plugin-python-1,pennylane-demo-cern,QHack,bolt
2021-03-03,482,48,18,2,105,89,18,9,204,44,10,60,8,4,27,1,23,4,5,2,1,8,8,2,0,0,32,84,0
2021-03-03,482,48,18,2,105,89,18,9,204,44,10,60,8,4,27,1,23,4,5,2,1,8,8,2,0,0,32,84,0
2021-03-03,482,48,18,2,105,89,18,9,204,44,10,60,8,4,27,1,23,4,5,2,1,8,8,2,0,0,32,84,0
2021-03-03,482,48,18,2,105,89,18,9,204,44,10,60,8,4,27,1,23,4,5,2,1,8,8,2,0,0,32,84,0
2021-03-03,482,48,18,2,105,89,18,9,204,44,10,60,8,4,27,1,23,4,5,2,1,8,8,2,0,0,32,84,0
2021-03-03,482,48,18,2,105,89,18,9,204,44,10,60,8,4,27,1,23,4,5,2,1,8,8,2,0,0,32,84,0
2021-03-03,482,48,18,2,105,89,18,9,204,44,10,60,8,4,27,1,23,4,5,2,1,8,8,2,0,0,32,84,0
